 
    OUTPUT FILES FOR THE Sun  
 
 Solar Constant=  1.000   F_CH4=  9.8637E-61  F_CO2=  3.3000E-04  F_O2=  2.0714E-01  F_N2=  7.6937E-01  F_H2=  9.8637E-61  F_AR=  9.8637E-03  IO3 =  0   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.320  G= 980.0  IMW= 2
 NST=     1 JCONV= 71 CHG= 5.68E-03 dt0= 7.50E+03 DIVF(1)=-4.02E-02 DIVFrms= 3.09E-02 DT(ND)=-1.16E+00 T(ND)= 2.8684E+02

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP =  0.2800

  J     P         ALT          T          CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 31  5.4313E-03  3.2838E+01  1.9995E+02  0.00E+00  -5.2217E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.5042E+00  6.0186E-01
 32  6.0837E-03  3.2171E+01  1.9995E+02  0.00E+00  -5.1291E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.4794E+00  5.9312E-01
 33  6.8069E-03  3.1511E+01  1.9995E+02  0.00E+00  -5.1064E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.4636E+00  5.8116E-01
 34  7.6076E-03  3.0857E+01  1.9995E+02  0.00E+00  -5.1329E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.4521E+00  5.6511E-01
 35  8.4930E-03  3.0210E+01  1.9995E+02  0.00E+00  -5.1882E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.4406E+00  5.4405E-01
 36  9.4708E-03  2.9569E+01  1.9995E+02  0.00E+00  -5.2542E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.4254E+00  5.1743E-01
 37  1.0550E-02  2.8936E+01  1.9995E+02  0.00E+00  -5.3471E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.4088E+00  4.8482E-01
 38  1.1738E-02  2.8309E+01  1.9995E+02  0.00E+00  -5.4520E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.3899E+00  4.4780E-01
 39  1.3046E-02  2.7688E+01  1.9994E+02  0.00E+00  -5.5193E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.3633E+00  4.0952E-01
 40  1.4483E-02  2.7075E+01  1.9994E+02  0.00E+00  -5.5328E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.3290E+00  3.7289E-01
 41  1.6061E-02  2.6468E+01  1.9995E+02  0.00E+00  -5.4825E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.2880E+00  3.4066E-01
 42  1.7791E-02  2.5867E+01  1.9995E+02  0.00E+00  -5.3680E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.2424E+00  3.1483E-01
 43  1.9686E-02  2.5273E+01  1.9995E+02  0.00E+00  -5.1995E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.1947E+00  2.9626E-01
 44  2.1757E-02  2.4686E+01  1.9995E+02  0.00E+00  -4.9953E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.1478E+00  2.8462E-01
 45  2.4021E-02  2.4106E+01  1.9995E+02  0.00E+00  -4.7767E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.1040E+00  2.7853E-01
 46  2.6490E-02  2.3532E+01  1.9995E+02  0.00E+00  -4.5629E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.0646E+00  2.7611E-01
 47  2.9180E-02  2.2965E+01  1.9996E+02  0.00E+00  -4.3661E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -1.0299E+00  2.7545E-01
 48  3.2108E-02  2.2404E+01  1.9996E+02  0.00E+00  -4.1909E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -9.9922E-01  2.7503E-01
 49  3.5290E-02  2.1850E+01  1.9996E+02  0.00E+00  -4.0355E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -9.7123E-01  2.7390E-01
 50  3.8744E-02  2.1303E+01  1.9996E+02  0.00E+00  -3.8942E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -9.4446E-01  2.7154E-01
 51  4.2489E-02  2.0762E+01  1.9996E+02  0.00E+00  -3.7595E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -9.1737E-01  2.6772E-01
 52  4.6544E-02  2.0228E+01  1.9996E+02  0.00E+00  -3.6229E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -8.8839E-01  2.6235E-01
 53  5.0930E-02  1.9701E+01  1.9997E+02  0.00E+00  -3.4761E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -8.5604E-01  2.5537E-01
 54  5.5666E-02  1.9180E+01  1.9997E+02  0.00E+00  -3.3123E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -8.1918E-01  2.4681E-01
 55  6.0776E-02  1.8666E+01  1.9997E+02  0.00E+00  -3.1282E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -7.7733E-01  2.3677E-01
 56  6.6280E-02  1.8158E+01  1.9997E+02  0.00E+00  -2.9251E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -7.3092E-01  2.2546E-01
 57  7.2203E-02  1.7657E+01  1.9997E+02  0.00E+00  -2.7082E-02  2.0000E+02  4.0000E-06  4.0000E-06  0.0000E+00 -6.8123E-01  2.1325E-01
